Tile	Base	Mean	sample
1	65	-7.240648148148146	pt4
1	66	3.5259424603174665	pt4
1	67	4.656805555555557	pt4
1	68	-29.737916666666667	pt4
2	1	-0.33345525681270516	pt4
2	2	-0.3905495866377606	pt4
2	3	-0.37476246561794824	pt4
2	4	-0.4021000327736033	pt4
2	5	-0.3626974438712267	pt4
2	6	-0.38812030671868314	pt4
2	7	-0.38672160399385547	pt4
2	8	-0.3761107682541649	pt4
2	9	-0.3759104262051238	pt4
2	10	-0.3553415650317575	pt4
2	11	-0.4143927914868826	pt4
2	12	-0.4841642603658016	pt4
2	13	-0.4627672361890305	pt4
2	14	-0.4158388976232459	pt4
2	15	-0.41944499239963307	pt4
2	16	-0.6248328616911536	pt4
2	17	-0.44117339248166587	pt4
2	18	-0.45912457754584324	pt4
2	19	-0.4649409754958995	pt4
2	20	-0.5793501410506892	pt4
2	21	-0.49899194682939196	pt4
2	22	-0.6279653532384941	pt4
2	23	-0.5018656699990842	pt4
2	24	-0.7162626173815383	pt4
2	25	-0.5614784465775955	pt4
2	26	-0.6302493080470057	pt4
2	27	-0.5835464666010282	pt4
2	28	-0.6465455616968185	pt4
2	29	-0.5849007515858986	pt4
2	30	-0.6802502557808907	pt4
2	31	-0.6555434958285247	pt4
2	32	-0.8275316863675002	pt4
2	33	-0.7386954673956936	pt4
2	34	-1.2582260767716917	pt4
2	35	-1.609952611985456	pt4
2	36	-1.1956533336423547	pt4
2	37	-1.7301337833751518	pt4
2	38	-1.0378609579611862	pt4
2	39	-2.006810590814048	pt4
2	40	-1.8448041537367104	pt4
2	41	-0.8756057979380358	pt4
2	42	-1.5919535509573066	pt4
2	43	-1.2559348911106767	pt4
2	44	-1.799289456512632	pt4
2	45	-2.2959780935359717	pt4
2	46	-2.356888778646706	pt4
2	47	-2.5093660156235416	pt4
2	48	-2.277681195055756	pt4
2	49	-2.4948361306742513	pt4
2	50	-3.3973124928249376	pt4
2	51	-0.6490154551998089	pt4
2	52	-1.0134096776641144	pt4
2	53	-0.8249199791937443	pt4
2	54	-2.1562051445427812	pt4
2	55	-1.8542371624425726	pt4
2	56	-0.9576506402560625	pt4
2	57	-0.8945630249297309	pt4
2	58	-1.5547965873522784	pt4
2	59	-2.8051446426882727	pt4
2	60	-2.7405458248686543	pt4
2	61	-6.051971877086604	pt4
2	62	-7.805919100392799	pt4
2	63	-7.17252130970882	pt4
2	64	-0.8426132663632515	pt4
2	65	-7.990648148148146	pt4
2	66	2.5259424603174665	pt4
2	67	-1.3431944444444426	pt4
2	68	3.762083333333333	pt4
3	1	-0.3301026216443361	pt4
3	2	-0.404265548538028	pt4
3	3	-0.4571842360196925	pt4
3	4	-0.4056994299417198	pt4
3	5	-0.40293202252065186	pt4
3	6	-0.5083960305739055	pt4
3	7	-0.3330934306698552	pt4
3	8	-0.32163612517061324	pt4
3	9	-0.3126367752672081	pt4
3	10	-0.31247788783738173	pt4
3	11	-0.3505918556337164	pt4
3	12	-0.4721199007363168	pt4
3	13	-0.40005682306567536	pt4
3	14	-0.3580473101064783	pt4
3	15	-0.3373086823380973	pt4
3	16	-0.39893643327707906	pt4
3	17	-0.3638487557155514	pt4
3	18	-0.4003082658707555	pt4
3	19	-0.33937455048713616	pt4
3	20	-0.41250275416868476	pt4
3	21	-0.4353897667342679	pt4
3	22	-0.44653586459816097	pt4
3	23	-0.44545252143318237	pt4
3	24	-0.5613558796433722	pt4
3	25	-0.4556013086736641	pt4
3	26	-0.4085616120819324	pt4
3	27	-0.3838789098632276	pt4
3	28	-0.5122425258194099	pt4
