Tile	Base	Mean	sample
5	23	-0.36276520775995635	pc7
5	24	-0.5425032017788283	pc7
5	25	-0.37276059322795874	pc7
5	26	-0.6144675065763465	pc7
5	27	-0.5895694449333106	pc7
5	28	-0.49533043995245407	pc7
5	29	-0.5455647380063127	pc7
5	30	-0.7255013374620845	pc7
5	31	-0.5770122709866072	pc7
5	32	-0.5470714137997348	pc7
5	33	-0.5686861577946871	pc7
5	34	-0.931773043551992	pc7
5	35	-1.413645787775856	pc7
5	36	-0.8340669636333615	pc7
5	37	-0.7766442424593407	pc7
5	38	-1.048605713061086	pc7
5	39	-1.3022292522204992	pc7
5	40	-1.3168644892125343	pc7
5	41	-1.5507792361932218	pc7
5	42	-2.1477367265338643	pc7
5	43	-1.5656186783211865	pc7
5	44	-2.4400189016841907	pc7
5	45	-1.1330320010822206	pc7
5	46	-1.7032563702306263	pc7
5	47	-1.3575951546239935	pc7
5	48	-1.9540596257569192	pc7
5	49	-1.7020828669784933	pc7
5	50	-1.8426543818963594	pc7
5	51	-1.2501856122884334	pc7
5	52	-1.9404891610239545	pc7
5	53	-2.581739313679229	pc7
5	54	-3.684368531347296	pc7
5	55	-3.104847575151105	pc7
5	56	-2.4628050827752617	pc7
5	57	-3.7346946923224245	pc7
5	58	-2.725885081506817	pc7
5	59	-1.9455675179566896	pc7
5	60	-3.5852253210802907	pc7
5	61	-3.9136691792931835	pc7
5	62	-8.235097040386325	pc7
5	63	-8.624804872363722	pc7
5	64	-10.700961613854187	pc7
5	65	-2.643624634477078	pc7
5	66	-6.107693365956077	pc7
5	67	-4.118040880964603	pc7
5	68	-14.712207425343014	pc7
6	1	-0.3189455930130549	pc7
6	2	-0.3861749425472638	pc7
6	3	-0.39280262264155397	pc7
6	4	-0.38904004690667904	pc7
6	5	-0.3887332697910324	pc7
6	6	-0.35194494435212675	pc7
6	7	-0.36433840690098407	pc7
6	8	-0.3738129464834543	pc7
6	9	-0.38341187346927796	pc7
6	10	-0.36447135553242305	pc7
6	11	-0.4003496562345674	pc7
6	12	-0.37334198957127995	pc7
6	13	-0.3828966469370272	pc7
6	14	-0.3654692372286874	pc7
6	15	-0.44530798199343735	pc7
6	16	-0.3104661680907128	pc7
6	17	-0.36983768588267907	pc7
6	18	-0.43463976080647626	pc7
6	19	0.015423909154471005	pc7
6	20	-0.3702194261088465	pc7
6	21	-0.3661541541502018	pc7
6	22	-0.41314687168694064	pc7
6	23	-0.42847702437926216	pc7
6	24	-0.45621863941732954	pc7
6	25	-0.46179123780993336	pc7
6	26	-0.48199528657600865	pc7
6	27	-0.5123493375027621	pc7
6	28	-0.6379577479658707	pc7
6	29	-0.6434244221866621	pc7
6	30	-0.48883291234850645	pc7
6	31	-0.4504467194676778	pc7
6	32	-0.6158160690473196	pc7
6	33	-0.5494106454690737	pc7
