Tile	Base	Mean	sample
4	18	-0.7173014902271078	cc2
4	19	-0.6577412159624174	cc2
4	20	-0.668832048808035	cc2
4	21	-0.6143314596046707	cc2
4	22	-0.5447606309659747	cc2
4	23	-0.60610729174509	cc2
4	24	-0.42184376774446974	cc2
4	25	-0.3232095298179871	cc2
4	26	0.19098655399070452	cc2
4	27	0.3388793392169731	cc2
4	28	-0.12493242985660657	cc2
5	1	-0.8376977471886562	cc2
5	2	-0.6130538056281409	cc2
5	3	-0.591129382686745	cc2
5	4	-0.6719006470407933	cc2
5	5	-0.6614793328377644	cc2
5	6	-0.6370756168113019	cc2
5	7	-0.623208782790222	cc2
5	8	-0.7183606989814777	cc2
5	9	-0.6540574649947573	cc2
5	10	-0.6336135745192308	cc2
5	11	-0.5904060577137926	cc2
5	12	-0.5559051052985637	cc2
5	13	-0.5512765961565762	cc2
5	14	-0.5542155609413086	cc2
5	15	-0.5129911851221607	cc2
5	16	-0.5200558988835979	cc2
5	17	-0.5430287719991966	cc2
5	18	-0.5301870194885367	cc2
5	19	-0.39775213778584373	cc2
5	20	-0.4889308165081232	cc2
5	21	-0.45263345792243115	cc2
5	22	-0.5048629714417388	cc2
5	23	-0.46191680837042526	cc2
5	24	-0.024477790941020316	cc2
5	25	0.48098154724375064	cc2
5	26	0.37036321181563636	cc2
5	27	0.33054673298714476	cc2
5	28	0.2491206004464246	cc2
6	1	-12.25500926271388	cc2
6	2	-25.1375821005372	cc2
6	3	-12.709747932040873	cc2
6	4	-12.441538075758032	cc2
6	5	-12.36074025779978	cc2
6	6	-10.260660099278407	cc2
6	7	-10.523608311393314	cc2
6	8	-10.370353631661182	cc2
6	9	-10.574242025811746	cc2
6	10	-10.6015786848157	cc2
6	11	-8.420086642449423	cc2
6	12	-8.605644985765036	cc2
6	13	-8.22247131637626	cc2
6	14	-9.929765375856256	cc2
6	15	-9.493431094149098	cc2
6	16	-9.843638512787756	cc2
6	17	-10.400594155157762	cc2
6	18	-9.67490456018853	cc2
6	19	-10.165918727353674	cc2
6	20	-10.994056610599692	cc2
6	21	-9.634141255703174	cc2
6	22	-11.028055930443525	cc2
6	23	-10.958111121184697	cc2
6	24	-17.640421449339794	cc2
6	25	-18.75233466824545	cc2
6	26	-18.12232373122969	cc2
6	27	-19.454814567254452	cc2
6	28	-16.687221992146167	cc2
7	1	-0.7765476375072353	cc2
7	2	-1.479241485067142	cc2
7	3	-0.8474876542384777	cc2
7	4	-0.8688379358900562	cc2
7	5	-0.8173691163545129	cc2
7	6	-0.7459205606483081	cc2
7	7	-0.751684196778001	cc2
7	8	-0.7462771847127954	cc2
7	9	-0.7494556995928505	cc2
7	10	-0.8069931350511439	cc2
7	11	-0.5989996908539865	cc2
7	12	-0.6185294400110735	cc2
7	13	-0.6189804095380396	cc2
7	14	-0.6748951047140466	cc2
7	15	-0.6216979152144972	cc2
7	16	-0.5625523147711178	cc2
7	17	-0.6439223345663692	cc2
7	18	-0.5953546717117248	cc2
7	19	-0.6008937343052168	cc2
7	20	-0.6163362483454051	cc2
7	21	-0.7214152777668659	cc2
7	22	-0.7500160637232085	cc2
7	23	-0.5422415348545613	cc2
7	24	-0.5428009649653376	cc2
7	25	-1.495910116902138	cc2
7	26	-1.945653122122657	cc2
7	27	-2.2738913192010557	cc2
7	28	-2.1102543995535754	cc2
8	1	-0.3954405998227557	cc2
8	2	-0.22963454079334866	cc2
8	3	-0.3617616179622445	cc2
8	4	-0.33430869834507604	cc2
8	5	-0.4155123448562392	cc2
8	6	-0.39250562352580687	cc2
8	7	-0.37219591605079216	cc2
8	8	-0.3895343491297609	cc2
8	9	-0.4392067201445684	cc2
8	10	-0.3803411933193104	cc2
8	11	-0.34022222662753876	cc2
8	12	-0.3243304834701064	cc2
8	13	-0.3427736873487319	cc2
8	14	-0.40429724891182417	cc2
8	15	-0.3335196086017973	cc2
8	16	-0.322208673069845	cc2
8	17	-0.4229844204703994	cc2
8	18	-0.35402336596795436	cc2
8	19	-0.3622449019394267	cc2
8	20	-0.2778868166920532	cc2
8	21	-0.44321246640537737	cc2
8	22	-0.2917148316821212	cc2
8	23	-0.40527771239299426	cc2
8	24	-0.12402186779957702	cc2
8	25	-0.2984662991924054	cc2
8	26	0.04007390731534599	cc2
8	27	-0.3505042224268635	cc2
8	28	0.1001757952516229	cc2
9	1	-0.3277968252884236	cc2
9	2	-0.19302876308486816	cc2
9	3	-0.28709872214437127	cc2
9	4	-0.32144092425708237	cc2
