Base	N-Count	sample
65	0.0	pt3
66	0.0	pt3
67	0.0	pt3
68	0.0	pt3
1	1.03833764572	cc1
2	0.134845153929	cc1
3	0.00563487269451	cc1
4	0.000218941883836	cc1
5	0.0	cc1
6	1.1523257044e-05	cc1
7	0.0	cc1
8	0.0	cc1
9	0.000149802341572	cc1
10	0.000149802341572	cc1
11	5.761628522e-05	cc1
12	0.000138279084528	cc1
13	4.6093028176e-05	cc1
14	0.00178610484182	cc1
15	0.0228621419753	cc1
16	0.0119841873258	cc1
17	0.00011523257044	cc1
18	8.29656473626e-05	cc1
19	6.05609665433e-05	cc1
20	0.0	cc1
21	0.0	cc1
22	0.0	cc1
23	3.95736963138e-05	cc1
24	0.0265276002838	cc1
25	0.00295005265844	cc1
26	0.0	cc1
27	0.0	cc1
28	0.0	cc1
1	0.0136355447725	pt2
2	0.0	pt2
3	0.0	pt2
4	0.0	pt2
5	0.000891976655362	pt2
6	0.000372875487078	pt2
7	0.00021933852181	pt2
8	1.46225681207e-05	pt2
9	0.0	pt2
10	7.31128406035e-06	pt2
11	2.1933852181e-05	pt2
12	0.0226649805871	pt2
13	0.000248583658052	pt2
14	0.000307073930535	pt2
15	2.1933852181e-05	pt2
16	9.50466927845e-05	pt2
17	0.000160848249328	pt2
18	0.0	pt2
19	7.45029627966e-06	pt2
20	0.0	pt2
21	1.5828029097e-05	pt2
22	0.0	pt2
23	2.2150106398e-05	pt2
24	0.0	pt2
25	2.7450736565e-05	pt2
26	1.38940238886e-05	pt2
27	0.0	pt2
28	0.0	pt2
29	4.32531314546e-05	pt2
30	0.000131697725624	pt2
31	6.11654183569e-05	pt2
32	0.0	pt2
33	0.000170846466138	pt2
34	0.0	pt2
35	0.0	pt2
36	0.0	pt2
37	0.0	pt2
38	0.0	pt2
39	0.0	pt2
40	0.0	pt2
41	0.0	pt2
42	0.00425218278716	pt2
43	0.0	pt2
44	0.0	pt2
45	0.0	pt2
46	0.0	pt2
47	0.0	pt2
48	0.0	pt2
49	0.0	pt2
50	0.0	pt2
51	0.0	pt2
52	0.0170343241632	pt2
53	0.0	pt2
54	0.0	pt2
55	0.0	pt2
56	0.0	pt2
57	0.0	pt2
58	0.0	pt2
59	0.0	pt2
60	0.0	pt2
61	0.0	pt2
62	0.0	pt2
63	0.0	pt2
64	0.0	pt2
65	0.0	pt2
66	0.0	pt2
67	0.119047619048	pt2
68	0.0	pt2
1	1.05918821496	ct5
2	0.0881714697393	ct5
3	0.0159098218223	ct5
4	0.00147111366165	ct5
5	0.0	ct5
6	0.0	ct5
7	0.0	ct5
8	0.0	ct5
9	0.0	ct5
10	0.0	ct5
11	0.0	ct5
12	0.0	ct5
13	0.0	ct5
14	0.000939878172719	ct5
15	0.0140981725908	ct5
16	1.3621422793e-05	ct5
17	0.0	ct5
18	0.0	ct5
19	0.0	ct5
20	0.0	ct5
21	0.0	ct5
22	0.00012362340191	ct5
23	0.0125665335117	ct5
24	0.0239271964355	ct5
25	0.00316784008743	ct5
26	0.00144157650807	ct5
27	0.0	ct5
28	0.0	ct5
1	0.0208958637107	pt5
2	0.0	pt5
3	0.0	pt5
4	0.0	pt5
5	0.000114917673936	pt5
6	0.0241327115266	pt5
7	0.0	pt5
8	0.0	pt5
9	0.0	pt5
10	4.788236414e-05	pt5
11	0.00019152945656	pt5
12	0.0121621204916	pt5
13	0.00062247073382	pt5
14	9.576472828e-05	pt5
15	0.0	pt5
16	0.0	pt5
17	0.0	pt5
18	0.0	pt5
19	0.0	pt5
20	0.0	pt5
21	0.0	pt5
22	0.0	pt5
23	0.0	pt5
24	0.0	pt5
25	0.0	pt5
26	0.0	pt5
27	0.0	pt5
28	0.0	pt5
29	0.0	pt5
30	0.0	pt5
31	0.0	pt5
32	0.0	pt5
33	0.00833107966947	pt5
34	0.0	pt5
35	0.0	pt5
36	0.000354328476671	pt5
37	0.0	pt5
38	0.0	pt5
39	0.00104579537968	pt5
40	0.0	pt5
41	0.00166836283555	pt5
42	0.00418830624895	pt5
43	0.00253030034665	pt5
44	0.00591961167347	pt5
45	0.0	pt5
46	0.0	pt5
47	0.0	pt5
48	0.0	pt5
49	0.0	pt5
50	0.0	pt5
51	0.0	pt5
52	0.729351468559	pt5
53	0.0	pt5
54	0.0118287201325	pt5
55	0.0	pt5
56	0.0	pt5
57	0.0	pt5
58	0.0	pt5
59	0.0	pt5
60	0.0	pt5
61	0.0	pt5
62	0.0	pt5
63	0.0345542501728	pt5
64	0.0	pt5
65	0.0	pt5
66	0.0	pt5
67	0.0	pt5
68	0.0	pt5
1	0.0345563393456	pt7
2	0.0	pt7
3	0.0	pt7
4	0.000103462093849	pt7
5	0.00297453519816	pt7
6	0.000413848375396	pt7
7	0.000303919900682	pt7
8	8.40629512523e-05	pt7
9	3.23319043278e-05	pt7
10	0.0	pt7
11	0.0	pt7
12	0.0177696146186	pt7
13	0.000284520758085	pt7
14	1.29327617311e-05	pt7
15	0.0	pt7
16	0.0	pt7
17	0.0	pt7
18	0.0	pt7
19	0.709709402548	pt7
20	0.0	pt7
21	0.0	pt7
22	0.0	pt7
23	0.0	pt7
24	0.0	pt7
25	0.0	pt7
26	0.0	pt7
27	0.0	pt7
28	3.71383077002e-05	pt7
29	0.0	pt7
30	0.000116208241295	pt7
31	0.000322150807652	pt7
32	2.18083006754e-05	pt7
33	0.0	pt7
34	6.06985431136e-05	pt7
35	0.000329836697851	pt7
36	0.000439329992473	pt7
37	0.000640188471486	pt7
38	0.000520925580572	pt7
39	0.00131549521817	pt7
40	0.000399768134482	pt7
41	0.000474511608927	pt7
42	0.00527061689643	pt7
43	0.0	pt7
44	0.0	pt7
45	0.0	pt7
46	0.0	pt7
47	0.0	pt7
48	0.0	pt7
49	0.0	pt7
50	0.0	pt7
51	0.0	pt7
52	0.0	pt7
53	0.0	pt7
54	0.0	pt7
55	0.00415817705518	pt7
56	1.02355248131	pt7
57	0.0	pt7
58	0.0	pt7
59	0.0	pt7
60	0.0	pt7
61	0.0	pt7
62	0.0	pt7
63	0.0	pt7
64	0.0	pt7
65	0.0	pt7
66	0.0	pt7
67	0.0	pt7
68	0.0	pt7
1	1.07842596966	ct4
2	0.0939470326016	ct4
3	0.0194955443471	ct4
4	0.00196490525703	ct4
5	0.0	ct4
6	0.0	ct4
7	0.0	ct4
8	0.0	ct4
9	4.60524669616e-05	ct4
10	0.0	ct4
11	0.0	ct4
12	3.07016446411e-05	ct4
13	0.000353068913372	ct4
14	0.00293200706322	ct4
15	0.0246534206468	ct4
16	0.000153508223205	ct4
17	0.0	ct4
18	0.0	ct4
19	0.0	ct4
20	1.69808808866e-05	ct4
21	3.73679928941e-05	ct4
22	0.000411930137564	ct4
23	0.00970866972509	ct4
24	0.0281086823064	ct4
25	0.00371806645672	ct4
26	0.00359974904607	ct4
27	0.0	ct4
28	0.0	ct4
1	1.02656699927	ct7
2	0.114195394621	ct7
3	0.0138220068094	ct7
4	0.00233842141065	ct7
5	5.95776155579e-05	ct7
6	0.0	ct7
7	0.0	ct7
8	0.0	ct7
9	0.0	ct7
10	0.0	ct7
11	0.0	ct7
12	0.0	ct7
13	0.139649930868	ct7
14	0.000431937712794	ct7
15	0.236135879264	ct7
16	0.0	ct7
17	0.0	ct7
18	0.0	ct7
19	0.0	ct7
20	0.0	ct7
21	0.0	ct7
22	0.0	ct7
23	0.0126927608209	ct7
24	0.0156136731166	ct7
25	0.00103508239256	ct7
26	0.0	ct7
27	0.0	ct7
28	0.0424692856059	ct7
1	0.00805551095993	pc6
2	0.000666576238683	pc6
3	0.0	pc6
4	0.0	pc6
5	6.28845508191e-06	pc6
6	3.14422754096e-05	pc6
7	6.28845508191e-06	pc6
8	0.0	pc6
9	0.0	pc6
10	0.0	pc6
11	0.000270403568522	pc6
12	0.0166832713323	pc6
13	0.0005911147777	pc6
14	0.00126397947146	pc6
15	0.0	pc6
16	0.0	pc6
17	1.25769101638e-05	pc6
18	0.0	pc6
19	0.0	pc6
20	0.0	pc6
21	0.0	pc6
22	0.0	pc6
23	0.0	pc6
24	0.0	pc6
25	9.7368859725e-06	pc6
26	0.00053047568049	pc6
27	0.0	pc6
28	5.98805323499e-05	pc6
29	2.01044749143e-05	pc6
30	0.0	pc6
31	6.24576003977e-05	pc6
32	0.0	pc6
33	0.000350661729625	pc6
34	0.000969791010037	pc6
35	0.00046865571965	pc6
36	0.0	pc6
37	0.00775223845885	pc6
38	0.0013427504901	pc6
39	0.0	pc6
40	0.00395848627485	pc6
41	0.00890558804446	pc6
42	0.0267232651719	pc6
43	0.0140335462771	pc6
44	0.013343446261	pc6
45	0.00442861951073	pc6
46	0.013147082991	pc6
47	0.0	pc6
48	0.0	pc6
49	0.0	pc6
50	0.0	pc6
51	0.0	pc6
52	0.0	pc6
53	0.0	pc6
54	0.0	pc6
55	0.0	pc6
56	0.0	pc6
57	0.0	pc6
58	0.0	pc6
59	0.0	pc6
60	0.0	pc6
61	0.0	pc6
62	0.0	pc6
63	0.0	pc6
64	0.0	pc6
65	0.0	pc6
66	0.0	pc6
67	0.0	pc6
68	0.0	pc6
1	1.06111768664	ct6
2	0.0891061649445	ct6
3	0.0166057854503	ct6
4	0.00165258217965	ct6
5	0.0	ct6
6	0.0	ct6
7	0.0	ct6
8	0.0	ct6
9	0.0	ct6
10	0.0	ct6
11	0.0	ct6
12	1.33272756423e-05	ct6
13	0.0	ct6
14	0.00106618205138	ct6
15	0.0149532032707	ct6
16	3.99818269269e-05	ct6
17	0.0	ct6
18	0.0	ct6
19	0.0	ct6
20	0.0	ct6
21	0.0	ct6
22	7.89826092142e-05	ct6
23	0.0135970339581	ct6
24	0.0220451425733	ct6
25	0.00215352809431	ct6
26	0.00167194723335	ct6
27	0.0	ct6
28	0.0	ct6
1	0.0136115840875	pt1
2	0.0	pt1
3	0.0	pt1
4	8.1751255781e-06	pt1
5	0.000850213060123	pt1
6	0.000416931404483	pt1
7	0.000335180148702	pt1
8	0.0	pt1
9	0.0	pt1
10	4.08756278905e-05	pt1
11	8.1751255781e-06	pt1
12	0.021508755396	pt1
