Length	Count	sample
34	757949.0	pc1
36	487170.0	pc1
38	236784.0	pc1
40	160454.0	pc1
42	100291.0	pc1
44	56352.0	pc1
46	34857.0	pc1
48	40478.0	pc1
50	11124.0	pc1
52	7889.0	pc1
54	5473.0	pc1
56	2532.0	pc1
58	10254.0	pc1
60	9851.0	pc1
62	8701.0	pc1
64	4489.0	pc1
66	1570.0	pc1
68	1169.0	pc1
