GC_Content	Count	sample
18	3090.5	pc7
19	5198.5	pc7
20	13214.5	pc7
21	22032.5	pc7
22	23643.5	pc7
23	23710.5	pc7
24	27056.0	pc7
25	51018.0	pc7
26	83805.0	pc7
27	96622.5	pc7
28	112424.5	pc7
29	134953.0	pc7
30	259082.5	pc7
31	467575.5	pc7
32	567514.5	pc7
33	712519.0	pc7
34	996457.0	pc7
35	1151426.5	pc7
36	1265685.0	pc7
37	1293541.5	pc7
38	1235549.5	pc7
39	1416186.0	pc7
40	1586837.5	pc7
41	1626389.0	pc7
42	1691103.0	pc7
43	1925435.0	pc7
44	2238340.0	pc7
45	2488120.5	pc7
46	2920566.0	pc7
47	3448034.0	pc7
48	3592712.5	pc7
49	3602508.5	pc7
50	3113295.5	pc7
51	2448422.5	pc7
52	2201913.5	pc7
53	1836120.0	pc7
54	1549139.0	pc7
55	1103440.0	pc7
56	957000.5	pc7
57	1435984.5	pc7
58	1688584.5	pc7
59	1447425.5	pc7
60	1072145.5	pc7
61	889740.0	pc7
62	854765.5	pc7
63	767142.0	pc7
64	594112.0	pc7
65	481147.0	pc7
66	325566.5	pc7
67	181728.0	pc7
68	153392.0	pc7
69	129369.5	pc7
70	119453.5	pc7
71	110739.0	pc7
72	109895.5	pc7
73	111736.5	pc7
74	92417.5	pc7
75	64576.0	pc7
76	43584.5	pc7
77	31061.5	pc7
78	24040.5	pc7
79	21453.0	pc7
80	18879.0	pc7
81	17896.0	pc7
82	18136.5	pc7
83	16320.0	pc7
84	13609.0	pc7
85	12237.0	pc7
86	11665.0	pc7
87	11635.0	pc7
88	12179.0	pc7
89	12409.5	pc7
90	12250.5	pc7
91	10038.5	pc7
92	6222.0	pc7
93	3242.0	pc7
94	1703.0	pc7
95	1367.5	pc7
96	1312.0	pc7
97	928.0	pc7
98	354.5	pc7
99	155.0	pc7
100	153.0	pc7
0	47.0	pt3
1	47.5	pt3
2	41.0	pt3
3	27.5	pt3
4	20.5	pt3
5	20.5	pt3
6	21.5	pt3
7	29.5	pt3
8	55.5	pt3
9	83.5	pt3
10	103.5	pt3
11	133.5	pt3
12	204.5	pt3
13	328.0	pt3
14	446.5	pt3
15	591.5	pt3
16	834.5	pt3
17	1254.5	pt3
18	1893.5	pt3
19	3847.0	pt3
20	13749.0	pt3
21	23525.0	pt3
22	23952.0	pt3
23	20250.5	pt3
24	18030.5	pt3
25	39839.0	pt3
26	77173.0	pt3
27	94627.5	pt3
28	114266.5	pt3
29	137223.0	pt3
30	291011.5	pt3
31	524985.0	pt3
32	614542.5	pt3
33	750655.0	pt3
34	1057401.5	pt3
35	1249845.5	pt3
36	1373807.0	pt3
37	1421408.5	pt3
38	1381859.0	pt3
39	1681916.5	pt3
40	1970370.0	pt3
41	2005402.5	pt3
42	2115159.0	pt3
43	2333873.5	pt3
44	2683863.5	pt3
45	3078174.5	pt3
46	4038564.5	pt3
47	5445973.0	pt3
48	6240897.5	pt3
49	6433508.5	pt3
50	4868884.0	pt3
51	3237395.0	pt3
52	2399755.0	pt3
53	1394644.5	pt3
54	1081113.5	pt3
55	872686.5	pt3
56	804270.5	pt3
57	823384.0	pt3
58	761464.0	pt3
59	628539.5	pt3
60	527508.0	pt3
61	486655.0	pt3
62	472456.0	pt3
63	447631.5	pt3
64	376395.5	pt3
65	299308.0	pt3
66	211037.0	pt3
67	160630.0	pt3
68	137939.0	pt3
69	113082.5	pt3
70	100639.5	pt3
71	85550.5	pt3
72	77031.5	pt3
73	76450.0	pt3
74	62378.5	pt3
75	45100.0	pt3
76	33595.5	pt3
77	24277.0	pt3
78	19184.0	pt3
79	17596.5	pt3
80	15695.0	pt3
81	15435.5	pt3
82	16510.0	pt3
83	15192.0	pt3
84	13316.5	pt3
85	10497.5	pt3
86	6483.0	pt3
87	4154.5	pt3
88	3298.0	pt3
89	2769.5	pt3
90	2448.0	pt3
91	2121.0	pt3
92	1880.0	pt3
93	1691.0	pt3
94	1465.5	pt3
95	1318.5	pt3
96	1268.0	pt3
97	1116.5	pt3
98	653.0	pt3
99	323.5	pt3
100	321.0	pt3
0	24.0	cc1
1	24.0	cc1
2	21.5	cc1
3	21.0	cc1
4	23.0	cc1
5	23.0	cc1
6	25.0	cc1
7	35.0	cc1
8	58.0	cc1
9	87.0	cc1
10	104.0	cc1
11	135.0	cc1
12	210.5	cc1
13	290.5	cc1
14	347.5	cc1
15	458.0	cc1
16	674.0	cc1
17	1001.0	cc1
18	1531.5	cc1
19	2173.5	cc1
20	7347.0	cc1
21	13754.5	cc1
22	15380.0	cc1
23	14660.0	cc1
24	14778.0	cc1
25	29126.5	cc1
26	50713.0	cc1
27	59285.0	cc1
28	74780.0	cc1
29	93948.5	cc1
30	224195.0	cc1
31	437531.5	cc1
32	529614.0	cc1
33	666814.5	cc1
34	923540.5	cc1
35	1049055.0	cc1
36	1101991.0	cc1
37	1074712.0	cc1
38	1016473.5	cc1
39	1107916.5	cc1
40	1201080.5	cc1
41	1242305.0	cc1
42	1258123.0	cc1
43	1584559.5	cc1
44	1929099.5	cc1
45	2092458.0	cc1
46	2491675.5	cc1
47	2741855.0	cc1
48	2366406.0	cc1
49	1991948.0	cc1
50	1612734.5	cc1
51	1233521.0	cc1
52	1038708.5	cc1
53	810166.0	cc1
54	723917.5	cc1
55	627914.5	cc1
56	553369.0	cc1
57	554409.5	cc1
58	585553.5	cc1
59	542014.0	cc1
60	502869.5	cc1
61	447742.5	cc1
62	410360.5	cc1
63	405844.0	cc1
64	350333.5	cc1
65	317761.0	cc1
66	264532.5	cc1
67	205132.5	cc1
68	158302.5	cc1
69	113690.0	cc1
70	101114.0	cc1
71	77775.5	cc1
72	59173.5	cc1
73	56755.5	cc1
74	43420.0	cc1
75	28731.5	cc1
76	23519.5	cc1
77	20219.5	cc1
78	19089.5	cc1
79	21072.0	cc1
80	21576.5	cc1
81	21503.5	cc1
82	23405.0	cc1
83	22211.0	cc1
84	20458.0	cc1
85	15017.0	cc1
86	7312.0	cc1
87	4097.0	cc1
88	3234.5	cc1
89	2754.0	cc1
90	2517.0	cc1
91	2068.0	cc1
