Quality	Count	sample
34	384496.0	pc6
35	562019.0	pc6
36	889988.0	pc6
37	1734896.0	pc6
38	2889680.0	pc6
39	7448443.0	pc6
40	730817.0	pc6
2	239344.0	ct6
3	5120.0	ct6
4	2342.0	ct6
5	2758.0	ct6
6	3828.0	ct6
7	6006.0	ct6
8	5484.0	ct6
9	3952.0	ct6
10	3904.0	ct6
11	4827.0	ct6
12	6151.0	ct6
13	7334.0	ct6
14	8449.0	ct6
15	9437.0	ct6
16	9622.0	ct6
17	11165.0	ct6
18	13659.0	ct6
19	17958.0	ct6
20	23316.0	ct6
21	28382.0	ct6
22	32445.0	ct6
23	36891.0	ct6
24	40749.0	ct6
25	43307.0	ct6
26	41723.0	ct6
27	41920.0	ct6
28	47304.0	ct6
29	52197.0	ct6
30	59174.0	ct6
31	68087.0	ct6
32	81501.0	ct6
33	99780.0	ct6
34	128581.0	ct6
35	189792.0	ct6
36	315963.0	ct6
37	569109.0	ct6
38	1178296.0	ct6
39	3294345.0	ct6
40	769207.0	ct6
2	621.0	pt1
3	120.0	pt1
4	51.0	pt1
5	62.0	pt1
6	72.0	pt1
7	124.0	pt1
8	113.0	pt1
9	152.0	pt1
10	207.0	pt1
11	272.0	pt1
12	397.0	pt1
13	429.0	pt1
14	534.0	pt1
15	667.0	pt1
16	873.0	pt1
17	1302.0	pt1
18	1658.0	pt1
19	1958.0	pt1
20	2251.0	pt1
21	2973.0	pt1
22	3922.0	pt1
23	5644.0	pt1
24	8409.0	pt1
25	12916.0	pt1
26	19986.0	pt1
27	29080.0	pt1
28	40884.0	pt1
29	55671.0	pt1
30	72207.0	pt1
31	92517.0	pt1
32	117139.0	pt1
33	148550.0	pt1
34	199445.0	pt1
35	291972.0	pt1
36	466200.0	pt1
37	898044.0	pt1
38	1721784.0	pt1
39	6832910.0	pt1
40	1200112.0	pt1
2	237305.0	cc2
3	4905.0	cc2
4	2246.0	cc2
5	3017.0	cc2
6	4024.0	cc2
7	6503.0	cc2
8	5513.0	cc2
9	4218.0	cc2
10	3857.0	cc2
11	4914.0	cc2
12	7156.0	cc2
13	8760.0	cc2
14	10130.0	cc2
15	11342.0	cc2
16	11580.0	cc2
17	12703.0	cc2
18	15173.0	cc2
19	19150.0	cc2
20	23965.0	cc2
21	28885.0	cc2
22	32962.0	cc2
23	36884.0	cc2
24	40850.0	cc2
25	42315.0	cc2
26	40628.0	cc2
27	41297.0	cc2
28	45846.0	cc2
29	50713.0	cc2
30	56729.0	cc2
31	65971.0	cc2
32	77514.0	cc2
33	94603.0	cc2
34	121625.0	cc2
35	179220.0	cc2
36	297641.0	cc2
37	533787.0	cc2
38	1172302.0	cc2
39	3299847.0	cc2
40	874826.0	cc2
2	257325.0	cc4
3	5676.0	cc4
4	2709.0	cc4
5	3467.0	cc4
6	4442.0	cc4
7	7361.0	cc4
8	6687.0	cc4
9	4880.0	cc4
10	4784.0	cc4
11	6023.0	cc4
12	7994.0	cc4
13	9395.0	cc4
14	10945.0	cc4
15	12330.0	cc4
16	12592.0	cc4
17	13692.0	cc4
18	16293.0	cc4
19	20849.0	cc4
