Tile	Base	Mean	sample
3	4	-0.7491389926605478	ct6
3	5	-0.7119474522468323	ct6
3	6	-0.7576505446145205	ct6
3	7	-0.7287479316102434	ct6
3	8	-0.7434376947605941	ct6
3	9	-0.7274707412591397	ct6
3	10	-0.780748721581233	ct6
3	11	-0.7687437780125776	ct6
3	12	-0.7709151273556785	ct6
3	13	-0.780170790840998	ct6
3	14	-0.7935150129023967	ct6
3	15	-0.7797994873886864	ct6
3	16	-0.798258463534097	ct6
3	17	-0.7771722215761088	ct6
3	18	-0.7937478759744963	ct6
3	19	-0.8335607097544155	ct6
3	20	-0.4509129609918645	ct6
3	21	-0.5145463614906944	ct6
3	22	-0.4646519676937686	ct6
3	23	-0.629719103222584	ct6
3	24	-0.22825308483621143	ct6
3	25	0.29159549580231214	ct6
3	26	-0.08961492813246963	ct6
3	27	0.07495921062152888	ct6
3	28	0.44078241086392467	ct6
4	1	-0.8803974221010762	ct6
4	2	-0.9179758886732543	ct6
4	3	-0.9000105566522407	ct6
4	4	-0.9063584693462516	ct6
4	5	-0.830714744799252	ct6
4	6	-0.8598618416174659	ct6
4	7	-0.840209179430758	ct6
4	8	-0.8666317544738575	ct6
4	9	-0.8874600997139837	ct6
4	10	-0.878015876562408	ct6
4	11	-0.809346499208651	ct6
4	12	-0.788860308380066	ct6
4	13	-0.8732241723707261	ct6
4	14	-0.8355197613281007	ct6
4	15	-0.8438332609710457	ct6
4	16	-0.7526465442858452	ct6
4	17	-0.8129380534910595	ct6
4	18	-0.8294457315936796	ct6
4	19	-0.7805991227218527	ct6
4	20	-0.5412239152934006	ct6
4	21	-0.568282770273683	ct6
4	22	-0.45708937441384023	ct6
4	23	-0.5417321606712662	ct6
4	24	-0.7722848016927344	ct6
4	25	-0.7846288448980161	ct6
4	26	-0.2706307392652363	ct6
4	27	-1.2296250111268705	ct6
4	28	-0.7307542719193378	ct6
5	1	-0.7090637284635832	ct6
5	2	-0.6486734399349885	ct6
5	3	-0.45948903452436696	ct6
5	4	-0.5846321288153007	ct6
5	5	-0.5165011086169784	ct6
5	6	-0.47038296475080443	ct6
5	7	-0.46390691568086595	ct6
5	8	-0.612731582906207	ct6
5	9	-0.4940790563070081	ct6
5	10	-0.4191373413801571	ct6
5	11	-0.43050155211169283	ct6
5	12	-0.38047017877939027	ct6
5	13	-0.5075416922207054	ct6
5	14	-0.41939058866140044	ct6
5	15	-0.34553479129643705	ct6
5	16	-0.3153296737087885	ct6
5	17	-0.350332183918745	ct6
5	18	-0.3267532074066324	ct6
5	19	-0.22971868435620735	ct6
5	20	0.046949061248852786	ct6
5	21	0.23174749749631474	ct6
5	22	0.2964987534727328	ct6
5	23	0.27411196137894933	ct6
5	24	0.2379814907589548	ct6
5	25	-0.9409073298893702	ct6
5	26	-0.6743448116803137	ct6
5	27	-0.514678616340241	ct6
5	28	-0.6184864621622452	ct6
6	1	-0.5573757053101573	ct6
6	2	-0.6361432915378273	ct6
6	3	-0.6156140438547055	ct6
6	4	-0.6000637174116434	ct6
6	5	-0.5854495345506265	ct6
6	6	-0.6178314502973024	ct6
6	7	-0.5797040509540778	ct6
6	8	-0.5858492269252835	ct6
6	9	-0.6133788265357722	ct6
6	10	-0.5839785938782427	ct6
6	11	-0.5356460567018857	ct6
6	12	-0.5190974485006876	ct6
6	13	-0.5397919743262776	ct6
6	14	-0.539454517955491	ct6
6	15	-0.5720497092012664	ct6
6	16	-0.5029937652579122	ct6
6	17	-0.48359085201566643	ct6
6	18	-0.5364778471775651	ct6
6	19	-0.5322543736843457	ct6
6	20	-0.24836955792898863	ct6
6	21	-0.1981641847452309	ct6
6	22	-0.26172727865365175	ct6
6	23	-0.2965509498646597	ct6
6	24	-0.2479625085710495	ct6
6	25	-0.31956318939629824	ct6
6	26	0.08251505625805322	ct6
6	27	-0.21268416789776268	ct6
6	28	-0.016692121237468882	ct6
7	1	-0.5640007778154015	ct6
7	2	-0.6205771069333608	ct6
7	3	-0.5613468173437823	ct6
7	4	-0.5971237653962973	ct6
7	5	-0.5670299144396154	ct6
7	6	-0.6296037827865817	ct6
7	7	-0.6239265463658654	ct6
7	8	-0.601413032588141	ct6
7	9	-0.6646880490626685	ct6
7	10	-0.6131139815442737	ct6
7	11	-0.5198783967338088	ct6
7	12	-0.5527591574063919	ct6
7	13	-0.5414467381218699	ct6
7	14	-0.5245930598182227	ct6
7	15	-0.5448179995888793	ct6
7	16	-0.5587790363907885	ct6
7	17	-0.5894726452058805	ct6
7	18	-0.5805600356373972	ct6
7	19	-0.5729522380961001	ct6
7	20	-0.19637060210552448	ct6
7	21	-0.22130269555388082	ct6
7	22	-0.21011936263510478	ct6
7	23	-0.25935363007815937	ct6
7	24	-0.4841357492437055	ct6
7	25	-0.445101343760804	ct6
7	26	-0.5697951522740468	ct6
7	27	-0.3213777857154696	ct6
7	28	-1.8117859163312673	ct6
8	1	-0.45269571332016056	ct6
8	2	-0.47717955191077976	ct6
8	3	-0.43590768676320835	ct6
8	4	-0.489816893728495	ct6
8	5	-0.44923870640475627	ct6
8	6	-0.5280083882529283	ct6
8	7	-0.49716221472852595	ct6
8	8	-0.5193869874194164	ct6
8	9	-0.530818211372889	ct6
